time,intensity1,temp1,intensity2,temp2
0.0027880698593999997,-18256035313293906e15,6089557901184391e5,-21954562904188394e15,7323253910606513e5
0.0028180491051999997,-18243786183813024e15,6085472031392136e5,-2157669849253974e16,7197211910027347e5
0.0028480283509999997,-18231353170851844e15,6081324824673153e5,-2120647356588229e16,7073718167347053e5
0.0028780075967999993,-18219027928685255e15,6077213566421757e5,-20842023653818143e15,695215076218433e6
0.0029079868425999993,-18206745418768764e15,60731165621147e7,-20483640338079206e15,6832606955735758e5
0.0029379660883999993,-18194544369767474e15,6069046730244116e5,-20131007842820315e15,6714981416517258e5
0.0029679453341999993,-18182194324812705e15,6064927198673122e5,-19785315531857143e15,659967087359387e6
0.0029979245799999993,-1816944009481734e16,6060672845484769e5,-19447804214789001e15,6487089216496898e5
0.0030279038257999993,-18156826330604178e15,6056465346637963e5,-1911534653189896e16,6376193270312007e5
0.0030578830715999993,-18144300610225236e15,6052287216053056e5,-18788154806654615e15,6267053858524555e5
0.0030878623173999993,-18131596695849713e15,6048049646348909e5,-18467530849792347e15,6160105218454942e5
0.0031178415631999993,-18118941057038586e15,604382817963972e6,-18152177858533107e15,6054914783257522e5
0.0031478208089999993,-18106275021183301e15,6039603244849905e5,-17842306188474534e15,5951552720006894e5
0.0031778000547999993,-1809351311163846e16,6035346330039579e5,-17538240272022826e15,5850127247705083e5
0.0032077793005999993,-18081135363225094e15,6031217557589485e5,-1723753793841205e16,57498237458702316e4
0.0032377585463999993,-18068952633606724e15,602715383640729e6,-16941102067020094e15,5650943382645098e5
0.0032677377921999993,-18057169813210152e15,6023223510582826e5,-16647927781226204e15,5553150967268894e5
0.0032977170379999993,-18045687720166196e15,6019393496605638e5,-16358476155678723e15,54566002976895146e4
0.0033276962837999993,-1803446367641974e16,6015649558608887e5,-16072920602979702e15,53613492181246575e4
0.0033576755295999993,-1802321330990026e16,601189684028017e6,-15792498150556914e15,5267810356509003e5
0.0033876547753999993,-18012068056361012e15,6008179183867597e5,-15516538429247892e15,5175760101759425e5
0.0034176340211999993,-18000948199539494e15,6004469998888194e5,-15245321151720044e15,5085291755978743e5
0.0034476132669999993,-17989763038535138e15,600073903077813e6,-14979150152098112e15,49965066673218657e4
0.0034775925127999993,-17978571152956997e15,5997005819591696e5,-14717683214103653e15,4909290684725512e5
0.0035075717585999994,-17967525926418914e15,5993321528595262e5,-14460208490608092e15,48234063615463214e4
0.0035375510043999994,-1795646068727175e16,5989630562110987e5,-1420734592837768e16,4739060489766448e5
0.0035675302501999994,-17945264372061235e15,5985895873358239e5,-13959450621985154e15,4656371516185757e5
0.0035975094959999994,-17934113946455653e15,5982176491730039e5,-13715729357040126e15,457507485296382e6
0.0036274887417999994,-17922850755578178e15,597841949565595e6,-13476720977047191e15,4495350238946701e5
0.0036574679875999994,-17911240733381445e15,5974546809106667e5,-1324320808160209e16,4417458721260455e5
0.0036874472333999994,-17899344724421647e15,5970578727641523e5,-13014826361808298e15,43412787795376407e4
0.0037174264791999994,-1788756963096009e16,5966650979245145e5,-12789972258279711e15,4266275523942536e5
0.0037474057249999994,-1787592142434539e16,5962765555745031e5,-12568576966760936e15,41924260038459444e4
0.0037773849707999994,-1786406990868227e16,5958812315646137e5,-12351755442523415e15,4120102128294171e5
0.0038073642165999994,-17851907561876201e15,5954755393438285e5,-12139776077971418e15,4049393423356705e5
0.0038373434623999994,-17840183832539756e15,5950844778269825e5,-11929971474611477e15,3979410140668539e5
0.0038673227081999994,-178290316856183e17,5947124822472453e5,-1172190741923565e16,3910007442293843e5
0.0038973019539999994,-17818001944181773e15,5943445696749909e5,-11517092626705843e15,3841688581340441e5
0.003927281199799999,-1780707346577326e16,593980034873768e6,-11315551309945952e15,3774461634370384e5
0.003957260445599999,-17796353083080948e15,5936224413984741e5,-1111689695159258e16,3708197673069072e5
0.003987239691399999,-17785375861660014e15,5932562807053677e5,-10922552502445686e15,3643371342732605e5
0.004017218937199999,-1777428453423635e16,5928863138457055e5,-10731976734654874e15,3579802109182769e5
0.004047198182999999,-17763279722374501e15,5925192328345532e5,-10544485810995024e15,3517261868874306e5
0.004077177428799999,-17752298944086827e15,5921529534971433e5,-10360219301219704e15,345579717726578e6
0.004107156674599999,-17741394762425453e15,5917892291481681e5,-1017896917594193e16,3395338643222948e5
0.004137135920399999,-17730473327502577e15,5914249292923366e5,-10000958696693066e15,33359607387765106e4
0.004167115166199999,-17719504345521442e15,5910590434373585e5,-9826214333166155e15,327767229326568e6
0.004197094411999999,-17708505986537138e15,590692177671032e6,-9654623505686445e15,32204357541531084e4
0.004227073657799999,-17697439021177855e15,5903230234423662e5,-9486234721935259e15,3164267301859627e5
0.004257052903599999,-1768615329172841e16,58994657202912074e4,-932138769996074e16,3109280254128587e5
0.004287032149399999,-1767462999466661e16,5895621962133088e5,-9160050315680945e15,30554638955196606e4
0.004317011395199999,-17663030629110234e15,5891752830256403e5,-9001721978919067e15,3002651247123456e5
0.004346990640999999,-17651417727565363e15,58878791832599626e4,-8846184183086407e15,29507694229874203e4
0.004376969886799999,-17639672231112254e15,5883961307362928e5,-8693685262122876e15,28999012583975256e4
0.004406949132599999,-17627728021819736e15,5879977147997412e5,-854432419848377e16,28500797703469135e4
0.004436928378399999,-17615752968783434e15,5875982700266408e5,-8397623571059325e15,28011457082950776e4
0.004466907624199999,-1760371423965561e16,5871967012477549e5,-8253612866103736e15,27531089077977183e4
0.004496886869999999,-17591549576709538e15,5867909317688552e5,-8112386309867906e15,27060007993489624e4
0.004526866115799999,-17579303597074315e15,5863824498571715e5,-7973783143374943e15,26597677595261387e4
0.004556845361599999,-17567021112758854e15,5859727502804243e5,-7837650188416435e15,2614358693578753e5
0.004586824607399999,-17554877085199375e15,58556766912393046e4,-7703551649121683e15,25696282356515052e4
0.004616803853199999,-1754293870627847e16,58516944766764194e4,-757131467259668e16,2525518728225203e5
0.004646783098999999,-1753112889797007e16,58477551486535644e4,-7441087710904292e15,24820796895778773e4
0.004676762344799999,-17519298605418285e15,5843808987822599e5,-7313161004165052e15,24394079333927236e4
0.004706741590599999,-17507405189313356e15,5839841771240743e5,-7187582017476607e15,23975192923220918e4
0.004736720836399999,-17495277664049134e15,58357964642489906e4,-7064656564282825e15,23565157747506853e4
0.004766700082199999,-17483434152855566e15,5831845894153739e5,-694327697265992e16,23160279010954694e4
0.004796679327999999,-17471519945963139e15,5827871742511664e5,-6824139132199301e15,2276287795138361e5
0.004826658573799999,-17459567190908612e15,5823884732586775e5,-6707136684059185e15,22372599793885348e4
0.0048566378195999994,-17447701059713704e15,5819926617271243e5,-65919896097918e17,219885104974582e6
0.004886617065399999,-17436015327939786e15,5816028676725348e5,-6478493809835656e15,21609929259246584e4
0.0049165963111999994,-17424410697920728e15,5812157788812932e5,-6366815963255409e15,212374120607644e6
0.004946575556999999,-17413214001272582e15,5808422972826285e5,-6256332070384545e15,20868877463170007e4
0.0049765548027999994,-1740244722920959e16,5804831564244888e5,-6147006008440963e15,20504204973832126e4
0.005006534048599999,-17391539184286272e15,5801193032109661e5,-6039851625169084e15,20146776424806125e4
0.0050365132943999994,-17380869783809431e15,5797634103193297e5,-5934162635359048e15,1979423590222221e5
